variable1,variable2,variable3,variable4,variable5,variable6,variable7,variable8,variable9,variable10,variable11,variable12,variable13,variable14,variable15,variable16,variable17,variable18,variable19,variable20,classLabel
b,16.0,92.0,3,0.00035,y,p,k,v,0,29,f,f,0,f,s,200.0,0,2000000.0,0,no.
a,48.0,17.0,0,1335.0,u,g,i,o,0,335,f,f,0,f,g,0.0,120,0.0,0,no.
b,32.0,33.0,0,35.0,u,g,k,v,0,5,f,f,0,t,g,232.0,0,2320000.0,0,no.
a,34.0,83.0,0,125.0,y,p,i,h,0,5,f,f,0,t,g,160.0,0,1600000.0,0,no.
b,21.0,17.0,8,0.00075,y,p,c,h,0,25,f,f,0,f,g,280.0,204,2800000.0,0,no.
b,28.0,92.0,3,0.00075,u,g,c,v,0,29,f,f,0,f,g,220.0,140,2200000.0,0,no.
b,18.0,17.0,0,1025.0,u,g,c,h,1,85,f,f,0,f,g,320.0,13,3200000.0,0,no.
a,24.0,75.0,0,13665.0,u,g,q,h,1,5,f,f,0,f,g,280.0,1,2800000.0,0,no.
a,18.0,17.0,0,1.0,y,p,q,h,0,165,f,f,0,f,g,340.0,0,3400000.0,0,no.
b,17.0,58.0,0,1.0,u,g,W,h,0,165,f,t,1,f,g,120.0,1,1200000.0,0,no.
b,51.0,83.0,0,204.0,y,p,ff,ff,1,5,f,f,0,f,g,120.0,1,1200000.0,0,no.
b,31.0,42.0,0,155.0,u,g,c,v,0,5,t,f,0,f,g,120.0,0,1200000.0,0,no.
b,25.0,67.0,0,325.0,u,g,c,h,2,29,f,t,1,t,g,416.0,21,4160000.0,0,no.
b,32.0,75.0,0,2335.0,u,g,d,h,5,75,f,f,0,t,g,292.0,0,2920000.0,0,no.
a,40.0,33.0,0,8125.0,y,p,k,v,0,165,f,t,2,f,g,177.042988741044,18,1770429.88741044,0,no.
a,24.0,33.0,0,25.0,y,p,i,bb,4,5,f,f,0,f,g,200.0,456,2000000.0,0,no.
a,30.0,42.0,0,1375.0,u,g,W,h,0,4,f,t,3,f,g,0.0,33,0.0,0,no.
b,22.0,67.0,7,5e-05,u,g,i,v,1,585,f,t,1,t,g,400.0,9,4000000.0,0,no.
b,27.0,83.0,0,15.0,u,g,W,v,2,25,f,t,1,t,g,100.0,3,1000000.0,0,no.
a,16.0,5.0,0,125.0,u,g,q,v,0,25,f,t,1,f,g,108.0,98,1080000.0,0,no.
b,26.0,17.0,8,0.00035,u,g,cc,v,1,165,f,f,0,f,g,100.0,0,1000000.0,0,no.
a,47.0,25.0,7,5e-05,u,g,q,h,2,75,t,t,1,f,g,333.0,892,3330000.0,1,yes.
a,33.0,67.0,3,0.00075,u,g,cc,v,0,375,f,f,0,f,g,300.0,44,3000000.0,1,yes.
b,33.0,17.0,0,104.0,u,g,r,h,6,5,t,f,0,t,g,164.0,31285,1640000.0,1,yes.
b,48.0,5.0,0,425.0,u,g,m,v,0,125,t,f,0,t,g,225.0,0,2250000.0,1,yes.
b,37.0,42.0,0,204.0,u,g,W,v,0,4,t,f,0,t,g,400.0,5800,4000000.0,1,yes.
a,22.0,58.0,0,1075.0,u,g,q,v,0,415,t,t,5,t,g,0.0,560,0.0,1,yes.
b,33.0,17.0,0,304.0,y,p,c,h,2,4,t,t,1,t,g,180.0,18027,1800000.0,1,yes.
a,40.0,83.0,0,1.0,u,g,q,h,1,75,t,f,0,f,g,29.0,837,290000.0,1,yes.
